Test_Battery,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
B0005,GRU,3.6722,0.5099,3.2058,0.4785,4.0786,0.6826,0.823,0.0505
B0005,LSTM,4.4137,0.4217,3.4743,0.2948,4.0331,0.2452,0.746,0.0491
B0005,XGB,3.841,0.1779,3.5341,0.1634,4.549,0.2136,0.8086,0.0178
B0005,Weighted,3.1972,0.3613,2.6834,0.3944,3.3358,0.5737,0.8664,0.0307
B0005,Stack_EN,4.3501,0.621,4.1541,0.5256,5.1134,0.5618,0.7515,0.0682
B0006,GRU,4.8683,0.8603,4.2964,0.7935,6.1068,1.2022,0.7113,0.0996
B0006,LSTM,3.7692,0.3041,2.9537,0.181,4.1316,0.3031,0.8298,0.0267
B0006,XGB,12.6409,0.2243,10.689,0.1469,16.2693,0.238,-0.9071,0.0677
B0006,Weighted,3.1979,0.1893,2.7433,0.2051,3.8351,0.2641,0.8777,0.0147
B0006,Stack_EN,3.7359,0.4094,3.2141,0.3821,4.5665,0.537,0.8321,0.0376
B0007,GRU,1.6843,0.242,1.3552,0.2941,1.6473,0.3417,0.9416,0.0162
B0007,LSTM,4.0446,2.1294,3.4195,2.0203,3.9267,2.3322,0.6067,0.3019
B0007,XGB,2.9691,0.1441,2.4439,0.1439,3.0542,0.1759,0.8208,0.0172
B0007,Weighted,2.0697,0.7657,1.6518,0.7107,1.9097,0.7755,0.9051,0.0578
B0007,Stack_EN,2.4837,0.8367,2.0553,0.7479,2.3904,0.8575,0.8654,0.0783
B0018,GRU,2.9146,0.568,2.2821,0.4846,2.7532,0.5756,0.7524,0.0968
B0018,LSTM,3.7991,0.4618,3.2956,0.5131,4.1485,0.7111,0.5856,0.1007
B0018,XGB,2.7834,0.1624,2.4448,0.1861,3.077,0.2499,0.7792,0.0257
B0018,Weighted,2.7605,0.1105,2.3104,0.2232,2.8556,0.3251,0.7831,0.0174
B0018,Stack_EN,2.8978,0.3364,2.3092,0.401,2.8009,0.5275,0.7591,0.0537
