Test_Battery,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
B0005,GRU,3.4741,0.3049,3.0448,0.3733,3.8935,0.5609,0.8428,0.027
B0005,LSTM,4.5055,1.2899,3.6337,0.9441,4.2389,0.9434,0.7226,0.1389
B0005,XGB,3.3413,0.2336,3.0567,0.1877,3.905,0.2578,0.8549,0.0199
B0005,Weighted,2.7763,0.3517,2.3146,0.462,2.8782,0.6634,0.8991,0.0259
B0005,Stack_LR,3.483,1.9661,2.9932,1.9774,3.6199,2.4627,0.8094,0.1545
B0005,Stack_Ridge,2.3902,1.9751,2.1085,2.1303,2.5863,2.6592,0.8923,0.1511
B0005,Stack_EN,2.4925,2.0911,2.308,2.1695,2.87,2.709,0.8817,0.1674
B0006,GRU,5.138,0.7903,4.5738,0.6985,6.5466,1.078,0.68,0.0977
B0006,LSTM,3.6814,0.0852,2.9469,0.2094,4.0826,0.2125,0.8382,0.0075
B0006,XGB,9.6812,0.0898,7.759,0.0568,11.8921,0.0985,-0.1184,0.0208
B0006,Weighted,3.2612,0.1121,2.7918,0.1026,3.8744,0.1389,0.873,0.0087
B0006,Stack_LR,3.629,0.404,3.1477,0.3806,4.3981,0.5642,0.8416,0.0361
B0006,Stack_Ridge,3.1822,0.2641,2.7512,0.2599,3.8728,0.3693,0.8786,0.0205
B0006,Stack_EN,3.4198,0.3394,2.9641,0.3252,4.1523,0.4739,0.8595,0.0285
B0007,GRU,3.7182,0.5098,3.5289,0.6085,4.3015,0.701,0.7159,0.0745
B0007,LSTM,2.9947,1.8812,2.4998,1.7798,2.8817,2.0528,0.7701,0.2441
B0007,XGB,3.0559,0.1747,2.3949,0.1089,3.0114,0.1414,0.8101,0.0215
B0007,Weighted,2.2143,0.4936,1.8385,0.6315,2.2604,0.7646,0.8972,0.046
B0007,Stack_LR,3.9955,2.9988,3.8112,3.1099,4.5712,3.7467,0.5544,0.5583
B0007,Stack_Ridge,3.4446,2.3072,3.2635,2.3996,3.8808,2.8662,0.6872,0.3626
B0007,Stack_EN,3.6145,2.5555,3.4357,2.664,4.1035,3.1889,0.6466,0.4221
B0018,GRU,3.0224,1.4357,2.4292,1.7184,2.9347,2.1614,0.7012,0.2793
B0018,LSTM,3.4396,0.9146,2.8621,0.7272,3.4904,0.8139,0.6478,0.1883
B0018,XGB,2.6374,0.1322,2.1964,0.1167,2.7265,0.1378,0.8019,0.0197
B0018,Weighted,2.5331,0.4293,1.8798,0.2025,2.2353,0.1919,0.8141,0.0594
B0018,Stack_LR,2.853,0.9224,2.4129,1.0785,2.9482,1.3378,0.7524,0.14
B0018,Stack_Ridge,2.7283,0.9803,2.3132,1.1439,2.827,1.4212,0.7701,0.1387
B0018,Stack_EN,2.7736,0.9922,2.3394,1.1504,2.857,1.4284,0.7626,0.1433
