Battery,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
B0005,GRU,1.2525,0.5108,1.153,0.5124,1.6317,0.7262,-1.1304,1.7446
B0005,LSTM,2.9821,0.1033,2.8818,0.0981,4.0785,0.1392,-9.8805,0.7532
B0005,XGBoost,9.3888,0.0973,9.3486,0.0972,13.2051,0.1373,-106.7751,2.2326
B0005,Weighted Ensemble,2.3929,0.5297,2.3061,0.5413,3.2637,0.7647,-6.2287,3.2974
B0005,Stacked (LR),1.4969,0.4941,1.3699,0.5316,1.9285,0.7517,-1.9384,1.9596
B0005,Stacked (Ridge),0.7218,0.096,0.6019,0.0951,0.8503,0.1358,0.3556,0.1688
B0005,Stacked (EN) ★,0.8666,0.1168,0.6388,0.0928,0.8949,0.1305,0.0708,0.2399
B0006,GRU,5.1424,0.2862,4.9068,0.317,8.2693,0.5272,-5.8115,0.7467
B0006,LSTM,6.3638,0.8494,6.1747,0.9015,10.3863,1.4993,-9.5336,2.8123
B0006,XGBoost,10.7821,0.0438,10.5925,0.0406,17.7871,0.0689,-28.8828,0.2423
B0006,Weighted Ensemble,6.4148,0.5151,6.2131,0.5457,10.4546,0.908,-9.6226,1.7363
B0006,Stacked (LR),3.7846,2.6431,3.3486,2.4016,5.6505,4.0851,-3.8788,5.1798
B0006,Stacked (Ridge),3.4765,0.3606,3.1807,0.381,5.3809,0.6398,-2.1289,0.638
B0006,Stacked (EN) ★,1.2448,0.6532,1.0605,0.5285,1.7966,0.9055,0.5286,0.4653
B0007,GRU,1.6382,0.5782,1.563,0.5996,2.0708,0.793,-2.8724,2.6688
B0007,LSTM,3.3945,0.9109,3.3235,0.9175,4.4022,1.2141,-15.0886,8.3384
B0007,XGBoost,10.4597,0.4844,10.2244,0.3669,13.5288,0.4854,-144.9713,13.4999
B0007,Weighted Ensemble,2.9826,0.9005,2.923,0.9085,3.871,1.2015,-11.5725,7.2848
B0007,Stacked (LR),1.5937,0.9257,1.4726,0.8685,1.9493,1.1504,-3.1453,3.274
B0007,Stacked (Ridge),1.1509,0.4762,1.0633,0.4786,1.4102,0.6346,-0.966,1.6038
B0007,Stacked (EN) ★,0.6636,0.2536,0.5377,0.2002,0.7103,0.2648,0.3561,0.4938
B0018,GRU,1.588,0.6148,1.3738,0.6324,1.844,0.8518,-1.1745,1.4146
B0018,LSTM,1.3683,0.3421,1.1186,0.3789,1.5084,0.5216,-0.5289,0.7658
B0018,XGBoost,4.6499,0.0301,4.5142,0.0299,6.1112,0.0404,-15.9501,0.2191
B0018,Weighted Ensemble,1.102,0.1364,0.9155,0.178,1.2376,0.2461,0.0382,0.2307
B0018,Stacked (LR),0.9142,0.1351,0.7665,0.1314,1.0323,0.1768,0.3352,0.1854
B0018,Stacked (Ridge),1.3,0.0886,1.1619,0.0959,1.5749,0.1293,-0.3289,0.1838
B0018,Stacked (EN) ★,1.4576,0.3293,1.3404,0.3329,1.8146,0.4522,-0.7222,0.7048
