Parameter,Value
Python version,3.12
TensorFlow,2.21.0
XGBoost,3.4.0
scikit-learn,>=1.3
numpy,2.4.4
Evaluation seeds,"42, 123, 2024"
Sequence length,32
Within-battery split,60/10/15/15 (base/early-val/meta/test)
LOO test set,All sequences of held-out battery (SEQ_LEN to end)
LOO meta block,70-85% of each training battery
Feature scaler,MinMaxScaler fitted on base portions of TRAINING batteries only
Target scaler,MinMaxScaler fitted on base portions of TRAINING batteries only
GRU architecture,"2-layer stacked, 64 units, dropout=0.20"
LSTM architecture,"2-layer stacked, 64 units, dropout=0.20"
XGBoost settings,"300 trees, depth=4, lr=0.05, subsample=0.8"
XGB lag depth,5 causal lags
ElasticNet alpha,0.05
ElasticNet l1_ratio,0.50
Within-battery Stack_EN RMSE,1.0565 ± 0.4595
Within-battery Stack_EN MAPE,1.3045%
LOO Stack_EN RMSE,3.3669 ± 0.9066
LOO Stack_EN MAPE,3.7178%
