Test_Battery,Train_Batteries,Seed,GRU_RMSE,LSTM_RMSE,XGB_RMSE,Weighted_RMSE,Stack_LR_RMSE,Stack_Ridge_RMSE,Stack_EN_RMSE,Stack_EN_MAE,Stack_EN_MAPE,Stack_EN_R2
B0005,B0006+B0007+B0018,42,3.7345,5.0983,3.3819,2.4742,2.0628,1.334,1.4074,1.1693,1.4374,0.9743
B0005,B0006+B0007+B0018,123,3.549,3.0258,3.393,3.148,5.0231,4.6949,4.9377,4.8439,6.0464,0.6841
B0005,B0006+B0007+B0018,2024,3.1387,5.3924,3.1836,2.7196,1.1604,1.4459,1.162,0.9901,1.242,0.9825
B0006,B0005+B0007+B0018,42,4.3738,3.7768,9.7074,3.3431,3.4971,3.0596,3.2909,2.8323,3.9203,0.8708
B0006,B0005+B0007+B0018,123,5.9521,3.613,9.8859,3.2901,3.9553,3.4406,3.7365,3.2808,4.6138,0.8334
B0006,B0005+B0007+B0018,2024,5.0882,3.6542,10.1628,3.1205,3.1732,2.9475,3.0787,2.6453,3.7295,0.8869
B0007,B0005+B0006+B0018,42,3.144,2.7776,3.2808,2.1614,2.5785,2.5184,2.8579,2.7064,3.2913,0.8343
B0007,B0005+B0006+B0018,123,4.1174,1.2315,3.1667,2.7593,7.1452,6.1011,6.367,6.255,7.4296,0.1774
B0007,B0005+B0006+B0018,2024,3.8932,4.975,3.2396,1.8089,1.6757,1.3549,1.4995,1.1412,1.337,0.9544
B0018,B0005+B0006+B0007,42,4.672,3.1867,2.6194,2.8937,3.464,3.1768,3.3709,3.0758,3.7955,0.6769
B0018,B0005+B0006+B0007,123,2.055,4.454,2.5118,2.6468,3.0999,3.1987,3.1195,2.847,3.5021,0.7233
B0018,B0005+B0006+B0007,2024,2.3403,2.678,2.4165,1.964,1.6013,1.5684,1.5951,1.0128,1.2155,0.9277
