Held_Out_Battery,Model,RMSE,MAE,MAPE,R2
B0005,GRU,3.4741±0.3049,3.0448±0.3733,3.8935±0.5609%,0.8428±0.0270
B0005,LSTM,4.5055±1.2899,3.6337±0.9441,4.2389±0.9434%,0.7226±0.1389
B0005,XGB,3.3195±0.1178,3.0471±0.0878,3.8919±0.1122%,0.8571±0.0100
B0005,Weighted,2.7806±0.3410,2.3175±0.4527,2.8823±0.6455%,0.8988±0.0250
B0005,Stack_Ridge,2.4916±1.9090,2.2406±2.0372,2.7446±2.5515%,0.8881±0.1504
B0005,Stack_EN,2.5024±2.1126,2.3344±2.1751,2.9086±2.7192%,0.8803±0.1700
B0006,GRU,5.1380±0.7903,4.5737±0.6985,6.5466±1.0780%,0.6800±0.0977
B0006,LSTM,3.6814±0.0852,2.9469±0.2094,4.0826±0.2125%,0.8382±0.0075
B0006,XGB,9.9187±0.2295,8.0037±0.2453,12.2570±0.3596%,-0.1743±0.0545
B0006,Weighted,3.2513±0.1163,2.7805±0.1049,3.8588±0.1431%,0.8738±0.0090
B0006,Stack_Ridge,3.1492±0.2585,2.7240±0.2564,3.8344±0.3610%,0.8811±0.0198
B0006,Stack_EN,3.3687±0.3357,2.9195±0.3266,4.0879±0.4654%,0.8637±0.0274
B0007,GRU,3.7182±0.5098,3.5289±0.6085,4.3015±0.7010%,0.7159±0.0745
B0007,LSTM,2.9947±1.8812,2.4998±1.7798,2.8817±2.0528%,0.7701±0.2441
B0007,XGB,3.2290±0.0577,2.5477±0.0876,3.2033±0.1038%,0.7884±0.0075
B0007,Weighted,2.2432±0.4804,1.8715±0.6155,2.3006±0.7437%,0.8948±0.0450
B0007,Stack_Ridge,3.3248±2.4737,3.1308±2.5432,3.7229±3.0178%,0.6929±0.3909
B0007,Stack_EN,3.5748±2.5117,3.3675±2.6202,4.0193±3.1109%,0.6554±0.4182
B0018,GRU,3.0224±1.4357,2.4292±1.7184,2.9347±2.1614%,0.7012±0.2793
B0018,LSTM,3.4396±0.9146,2.8621±0.7272,3.4904±0.8139%,0.6478±0.1883
B0018,XGB,2.5159±0.1015,2.1140±0.1166,2.6395±0.1488%,0.8198±0.0145
B0018,Weighted,2.5015±0.4815,1.8571±0.2328,2.2097±0.2265%,0.8177±0.0658
B0018,Stack_Ridge,2.6480±0.9350,2.2538±1.0882,2.7610±1.3528%,0.7841±0.1265
B0018,Stack_EN,2.6952±0.9609,2.3119±1.1308,2.8377±1.4125%,0.7760±0.1334
